path	source_blob_sha1	output_blob_sha1
.github/pull_request_template.md	cd756b1ef5f62d12aadda8ed196eeaa4049a34ad	bd16dce840fcf5237c117c2eeab2382964f9dbc2
ARCHITECTURE.md	cb4abd9ce420a7d404d99e387d645ee4880f51f2	46aa833d28be0d8fe16b7fd16ed118993d600ddf
BRAND.md	c5a2676ee351c01d67c3569b29426103e1d50a3e	637960abf76730cd24d0243baf0e2d8351ba9502
CLAUDE.md	838b95cffecd1c14876d8dfb27c0a6a65730f0b0	32417989714facef152e965a0e316ce236b2848d
CONTRIBUTING.md	c6993f2f154532f0ed99ff2c27cf3f23ab2c07d9	f6a6a6ec11660539e02b21f9b2525352995af737
README.md	367ba6df545fb30406ff55bad141c2ea8a45e99f	492fac8666b7b7c6611ecdad141218784e4c2d6a
SECURITY.md	fc1edd4332306d02481176c720934738dcd21923	83ffff599f770f92b195f1ad5b7cb7d8481ca836
agents/board-manager.md	a7abb8f43f15b7494b4bb434ff0f2093f59ff166	1baba323f4d356bab2f1b59575298e58c1954480
agents/code-reviewer.md	c5a48ab9013f82467ae0b60694a85bbeb9be0d27	1609e361afd17adb559a51a16797fa23e34ba073
agents/consolidator.md	e94af0f65ad84df8bcc847aeb22c813d6a900aec	09e833d650307ae1402693eb6cb4ee5dc516c732
agents/finding-extractor.md	92a863c1eb8808cc6f5a7d8f599b1ff6cf0be9ad	47b3f80d48f5792db5315ce1936ec8f67980677f
agents/learnings-curator.md	21cddaa623610896663e72a026da6efb04308128	1863092f356b12b5c4db0c257f008f79fb9cf178
agents/tdd-builder.md	c41e9dbb68db72ded538b8a2f6c104a681d348d8	39338d94442beec82bb1f7a2a4e0f62571108059
agents/tidier.md	9d4709c7e38bcb106371fab10b4acd2b6e63c2b6	52ab52be42e1db32624a9016312f91cf2ce4c1a7
agents/validator.md	a0929f9c43911dd1cc82f960da0966e24750f498	c0680b5ef8b0afd05f2426c6e40a74bd58c34986
commands/board-claim-release.md	2eab6dcb971b46a6fa5c06da3a661aff4ae26baf	621f51a708aa6deef0e7112e21235622e20ce17f
commands/board-demo.md	52b42566334726ef75c10c24518291a0bc16e095	c5b563d017a5de40dc910cf07a5f12c22842cc05
commands/board-graph.md	99c9b899133302466eab6fa98d663e133fe1ac54	60a3f0e18c7973dafbbaf56d5044e780b30ec26d
commands/board-hypothesis.md	95a9352565fc06f99cc196d5945828815a239087	c04bd95c4d67f8eaee1d2f1c497e4a1769f9589b
commands/board-init.md	f36c6c256efe9b5a5e074c05e72bbbeae594d534	0faac953d21bda1f348573693229b44f8da6d68f
commands/board-insights.md	9d89f28e8c91b10ccbc3c19bc460c924aa3cb1b1	fa39e4683ba96823faa7522cd58beaae18b75234
commands/board-install-permissions.md	7f1ac52003841579a5868379c9d5bf14e49f39a3	cc5c409dfb3318eedf0d9a23a0b5c75a4a664f4c
commands/board-migrate.md	c36ca36da44574b20615ffca457e6f021ff9b8d9	9f92d172a2b30012a02a66d258bbdfde5a7c0b7d
commands/board-pattern.md	e334db94fc8f763170b2788e4e4daddb77fea170	6a26a991dca44eb03fe421510d10a21d994c140f
commands/board-pause.md	a68929f4c2997fe6c6d02f4930cb4dd0605781cc	cf811e67e9bf3355905479e55e2e4430211eb444
commands/board-promote.md	96b0b8105d64eaf6af681b61a3793054ccb16c23	d0fc33384cce9bad41c7e2bc48a1e4f3e6850da1
commands/board-rebuild.md	6a2de47a05bb99e1907327842e3df7312675c25e	97a2715f3aca18cf74565bda4c57f5f1063bdbbf
commands/board-remember.md	b2848dfbce4de82e9ad2866d0ced659ccb1821d8	6113101dee4754eb7cf9f1db7bcbeb6b2c5cdd1d
commands/board-resume.md	8e40076d89b9f004adbf3157bd8b809721695de4	d6d9f3a24262d3cfd41e42413c8be25fb454d68d
commands/board-run.md	619feec18a3e4b7556d1d3a4a956f49ee1208580	b2ddf435379fc2dd5bd90f3a49168bae83c7993f
commands/board-setup.md	f525b773ebde9afc06713285e53013f99f78c727	22f240767ba599dd96db8cb5b387621c18e7e97a
commands/board-view.md	5538fb86d8e929d2503f5ac037f008ebe4b8e80b	551773f7afa1ad51e0bf2a26ff942cf6ebbd8fc8
commands/pm-start.md	79f04ddf4668e707d418195811f516d4e6fb535b	38a787647e9c858f1526a7d6caf3487ebd8c6106
commands/worker-start.md	5388e5e8e65d0deca071bd79a2291c435e2b2c13	85a5c5842e3d2608a33930d3c2a55302979f0ebd
docs/PRODUCT_EVOLUTION_SPEC.md	a31f26bafe46889fdc1aab8acfd7cfc5330227f6	519f6385bc0f9ee6de3a223b5447871f05d59cf0
docs/index.html	82529fef596c83fde52359949ea26cafb17a509a	80fcedb847a08aa9f2110aa142a45e682e7cc127
docs/llms.txt	74e015f5f8278ab331d3e10b7f0b556dfdb78fde	b0230b011c94448ce0ec11018d9f622c9a82175d
hooks/stop-hook-procedure.md	a7b9adfcef683a8a6686a8232c14c39563e0b9ee	246625811c6ac53d1518eb882c7cc0a54eb6f90b
mcp-server/README.md	811ec9d0d259b38d5309bf124177c9cbae8cdf10	3e1d4a334a78f5dbb5d320e4d2efe723ecdf895d
references/active-workers-registry.md	6b2f1bd1bec615a64e29184c7f9b37ff704a058a	1bb5132475c758aee1ab5b76f9505671b4dc876d
references/auto-resolve-pass.md	e8800a19c84fd616d77585f49189fb6e34ba656f	8fe4b4dbaf5774fbbaab82bf146f0c5bb90dd2c0
skills/board-consolidate/SKILL.md	19181bfc5e5efdb85afc5c29e1ed35474449c15a	2dfb55233cbaa6fb2b28f0dec228552d3fbcac95
skills/board-insights/SKILL.md	b4b5d0eb5a4a7ea1339be7b5470d1ec7b549f861	96c7cc3b47ac1e7d7751696ae0da0b205bed6dd9
skills/board-intake/SKILL.md	19e29f04596f4a5b168780b51f9795dd218bb8a0	372d61f73dccb04c4946373cfc5eb264ceb45963
skills/board-intake/references/frontmatter-schema.md	795067f2455424431aab55dd4ba4657dd3004935	ce5bf0b890bbba863424d31af2ab8519da7307a9
skills/board-intake/references/hypothesis-schema.md	e48611bd3d0fb4f49272f99e4776a16f11431fcf	3f34044bbeb666c38382a043b75989234f7bfc89
skills/board-resolve/SKILL.md	91d1670fa7c348a082309bc38b6fc9f7c3147b68	4a7873480432ffec3086df132cd00fbe078daf27
skills/board-triage/SKILL.md	659b6453c0a388b9038565d613e1b7c2e2fd342c	e029041b79643390d093807fb6a29d48de4b21c4
tests/smoke/manual-checks.md	e07a96be2d347c3d3607e0a0bb799ebb99771ae9	87c6ae27b8db2f25e168a61233a989453d95a4af
